title,year,minutes,genres,rating,votes,director,cast
Victory,1981,116,"Drama,Sport,War",6.7,34422,John Huston,"Michael Caine,Sylvester Stallone,Pelé,Bobby Moore,Osvaldo Ardiles"
Outland,1981,109,"Action,Crime,Sci-Fi",6.6,33556,Peter Hyams,"Sean Connery,Frances Sternhagen,Peter Boyle,James Sikking,Kika Markham"
Arthur,1981,97,"Comedy,Romance",6.9,32252,Steve Gordon,"Dudley Moore,Liza Minnelli,John Gielgud,Geraldine Fitzgerald,Jill Eikenberry"
Christiane F.,1981,138,"Biography,Drama",7.5,32026,Uli Edel,"Natja Brunckhorst,Eberhard Auriga,Peggy Bussieck,Lothar Chamski,Uwe Diderich"
My Dinner with Andre,1981,110,"Comedy,Drama",7.7,27989,Louis Malle,"Andre Gregory,Wallace Shawn,Jean Lenauer,Roy Butler"
The Postman Always Rings Twice,1981,122,"Crime,Drama,Romance",6.6,26658,Bob Rafelson,"Jack Nicholson,Jessica Lange,John Colicos,Michael Lerner,John P. Ryan"
My Bloody Valentine,1981,90,"Horror,Mystery,Thriller",6.2,26523,George Mihalka,"Paul Kelman,Lori Hallier,Neil Affleck,Keith Knight,Alf Humphreys"
The Beyond,1981,87,Horror,6.6,26478,Lucio Fulci,"Catriona MacColl,David Warbeck,Cinzia Monreale,Antoine Saint-John,Veronica Lazar"
Reds,1981,195,"Biography,Drama,History",7.3,25544,Warren Beatty,"Warren Beatty,Diane Keaton,Edward Herrmann,Jerzy Kosinski,Jack Nicholson"
Quest for Fire,1981,100,"Adventure,Drama",7.3,25196,Jean-Jacques Annaud,"Everett McGill,Ron Perlman,Nicholas Kadi,Rae Dawn Chong,Gary Schwartz"
The Final Conflict,1981,108,Horror,5.5,24655,Graham Baker,"Sam Neill,Rossano Brazzi,Don Gordon,Lisa Harrow,Barnaby Holm"
The Burning,1981,91,Horror,6.3,23555,Tony Maylam,"Brian Matthews,Leah Ayres,Brian Backer,Larry Joshua,Jason Alexander"
Southern Comfort,1981,106,"Action,Thriller",7.1,23211,Walter Hill,"Keith Carradine,Powers Boothe,Fred Ward,Franklyn Seales,T.K. Carter"
Nighthawks,1981,99,"Action,Crime,Thriller",6.3,22673,Bruce Malmuth,"Sylvester Stallone,Rutger Hauer,Billy Dee Williams,Lindsay Wagner,Persis Khambatta"
Taps,1981,126,Drama,6.8,21039,Harold Becker,"George C. Scott,Timothy Hutton,Ronny Cox,Sean Penn,Tom Cruise"
Dragonslayer,1981,109,"Action,Adventure,Fantasy",6.6,20778,Matthew Robbins,"Peter MacNicol,Caitlin Clarke,Ralph Richardson,John Hallam,Peter Eyre"
Mommie Dearest,1981,129,"Biography,Drama",6.6,19187,Frank Perry,"Faye Dunaway,Diana Scarwid,Steve Forrest,Howard Da Silva,Mara Hobel"
The Professional,1981,108,"Action,Crime,Drama",7.4,18205,Georges Lautner,"Jean-Paul Belmondo,Jean Desailly,Cyrielle Clair,Marie-Christine Descouard,Elisabeth Margoni"
The Great Muppet Caper,1981,97,"Adventure,Comedy,Crime",7.1,17480,Jim Henson,"Jim Henson,Jim Henson,Jim Henson,Frank Oz,Frank Oz"
The Funhouse,1981,96,Horror,5.9,17200,Tobe Hooper,"Elizabeth Berridge,Shawn Carson,Jeanne Austin,Jack McDermott,Cooper Huckabee"
The House by the Cemetery,1981,86,Horror,6.1,16984,Lucio Fulci,"Catriona MacColl,Paolo Malco,Ania Pieroni,Giovanni Frezza,Silvia Collatina"
The French Lieutenant's Woman,1981,124,"Drama,Romance",6.9,15883,Karel Reisz,"Meryl Streep,Jeremy Irons,Hilton McRae,Emily Morgan,Charlotte Mitchell"
Absence of Malice,1981,116,"Drama,Romance,Thriller",6.9,15848,Sydney Pollack,"Paul Newman,Sally Field,Bob Balaban,Melinda Dillon,Luther Adler"
Dead & Buried,1981,94,"Horror,Mystery",6.5,15741,Gary Sherman,"James Farentino,Melody Anderson,Jack Albertson,Dennis Redfield,Nancy Locke"
Diva,1981,117,"Crime,Drama,Music",7.1,14712,Jean-Jacques Beineix,"Wilhelmenia Fernandez,Frédéric Andréi,Roland Bertin,Richard Bohringer,Gérard Darmon"
The Prowler,1981,89,"Horror,Mystery,Thriller",5.9,13667,Joseph Zito,"Vicky Dawson,Christopher Goutman,Lawrence Tierney,Farley Granger,Cindy Weintraub"
Who Finds a Friend Finds a Treasure,1981,108,"Action,Adventure,Comedy",7.1,13447,Sergio Corbucci,"Terence Hill,Bud Spencer,John Fujioka,Louise Bennett,Sal Borgese"
Ms .45,1981,80,"Crime,Drama,Thriller",6.8,13345,Abel Ferrara,"Zoë Lund,Bogey,Albert Sinkys,Darlene Stuto,Helen McGara"
