title,year,minutes,genres,rating,votes,director,cast
My Chauffeur,1986,97,Comedy,5.5,2229,David Beaird,"Deborah Foreman,Sam J. Jones,Sean McClory,Howard Hesseman,E.G. Marshall"
Never Too Young to Die,1986,92,"Action,Adventure,Comedy",4.8,2226,Gil Bettman,"John Stamos,Vanity,Gene Simmons,Gene Simmons,George Lazenby"
Seven Minutes in Heaven,1986,88,"Comedy,Drama,Romance",5.9,2164,Linda Feferman,"Jennifer Connelly,Byron Thames,Maddie Corman,Alan Boyce,Michael Zaslow"
Momo,1986,101,"Comedy,Family,Fantasy",6.5,2156,Johannes Schaaf,"Radost Bokel,Mario Adorf,Armin Mueller-Stahl,Sylvester Groth,Leopoldo Trieste"
The Wind,1986,92,"Horror,Thriller",5.1,2139,Nico Mastorakis,"Meg Foster,Wings Hauser,David McCallum,Robert Morley,Steve Railsback"
Working Girls,1986,93,Drama,6.8,2103,Lizzie Borden,"Louise Smith,Ellen McElduff,Amanda Goodwin,Deborah Banks,Liz Caldwell"
The Windmill,1986,99,"Drama,History",7.4,2084,Atif Yilmaz,"Sener Sen,Serap Aksoy,Ali Erkazan,Orhan Çagman,Taner Barlas"
Druga Zikina dinastija,1986,90,Comedy,7.5,2076,Zoran Calic,"Dragomir Bojanic-Gidra,Marko Todorovic,Jelena Zigon,Nikola Kojo,Jelisaveta 'Seka' Sablic"
Hamburger: The Motion Picture,1986,90,Comedy,4.7,2046,Mike Marvin,"Leigh McCloskey,Dick Butkus,Randi Brooks,Chuck McCann,Jack Blessing"
Good Bye My Fiend,1986,128,"Action,Comedy,Crime",6.7,2038,Nader Galal,"Adel Emam,Sa'eed Saleh,Sawsan Badr,Mustafa Metwalli,Mohamed Metwalli"
The Pied Piper,1986,55,"Animation,Fantasy,Horror",7.8,2020,Jirí Barta,"Oldrich Kaiser,Jirí Lábus,Michal Pavlícek,Vilém Cok"
Tai-Pan,1986,127,Adventure,5.6,2020,Daryl Duke,"Bryan Brown,Joan Chen,John Stanton,Tim Guinee,Bill Leadbitter"
Rosa Luxemburg,1986,122,"Biography,Drama,History",6.9,2012,Margarethe von Trotta,"Barbara Sukowa,Daniel Olbrychski,Otto Sander,Adelheid Arndt,Jürgen Holtz"
The Seventh Curse,1986,83,"Action,Horror",6.7,2004,Ngai Choi Lam,"Chow Yun-Fat,Siu-Ho Chin,Maggie Cheung,Ken Boyle,Hung Chen"
Vicious Lips,1986,84,"Horror,Music,Sci-Fi",4.4,2003,Albert Pyun,"Dru-Anne Perry,Dru-Anne Perry,Gina Calabrese,Linda Kerridge,Shayne Farris"
Devil in the Flesh,1986,114,"Drama,Romance",5.7,2000,Marco Bellocchio,"Maruschka Detmers,Federico Pitzalis,Anita Laurenzi,Alberto Di Stasio,Riccardo De Torrebruna"
The Devil's Honey,1986,83,"Mystery,Thriller",5.2,1988,Lucio Fulci,"Brett Halsey,Corinne Cléry,Blanca Marsillach,Stefano Madia,Paula Molina"
Fire with Fire,1986,103,"Drama,Romance",6.4,1985,Duncan Gibbins,"Craig Sheffer,Virginia Madsen,Jon Polito,J.J. Cohen,Kate Reid"
Fair Game,1986,86,"Action,Adventure,Thriller",5.9,1956,Mario Andreacchio,"Cassandra Delaney,Peter Ford,David Sandford,Garry Who,Don Barker"
Voyage to Nowhere,1986,134,"Comedy,Drama",7.5,1928,Fernando Fernán Gómez,"José Sacristán,Laura del Sol,Juan Diego,María Luisa Ponte,Gabino Diego"
Mélo,1986,112,"Drama,Romance",7.1,1903,Alain Resnais,"Sabine Azéma,Fanny Ardant,Pierre Arditi,André Dussollier,Jacques Dacqmine"
That's Life!,1986,102,"Comedy,Drama",6,1894,Blake Edwards,"Jack Lemmon,Julie Andrews,Sally Kellerman,Robert Loggia,Jennifer Edwards"
Blood Hook,1986,92,"Comedy,Horror",4.3,1875,Jim Mallon,"Mark Jacobs,Lisa Jane Todd,Patrick Danz,Sara Hauser,Christopher Whiting"
Grandi magazzini,1986,115,Comedy,5.6,1859,Franco Castellano,"Enrico Montesano,Michele Placido,Massimo Ciavarro,Renato Pozzetto,Christian De Sica"
American Anthem,1986,102,"Drama,Sport",4.9,1848,Albert Magnoli,"Mitchell Gaylord,Tiny Wells,Janet Jones,Michael Pataki,Patrice Donnelly"
Chameli Ki Shaadi,1986,136,"Comedy,Drama,Romance",7.5,1833,Basu Chatterjee,"Anil Kapoor,Amrita Singh,Om Prakash,Amjad Khan,Pankaj Kapur"
Modern Girls,1986,84,"Comedy,Drama,Romance",5.8,1792,Jerry Kramer,"Daphne Zuniga,Virginia Madsen,Cynthia Gibb,Clayton Rohner,Clayton Rohner"
Full Metal Jacket,1987,116,"Drama,War",8.2,818033,Stanley Kubrick,"Matthew Modine,R. Lee Ermey,Vincent D'Onofrio,Adam Baldwin,Dorian Harewood"
Predator,1987,107,"Action,Adventure,Horror",7.8,474542,John McTiernan,"Arnold Schwarzenegger,Carl Weathers,Kevin Peter Hall,Kevin Peter Hall,Elpidia Carrillo"
The Princess Bride,1987,98,"Adventure,Comedy,Family",8,464331,Rob Reiner,"Cary Elwes,Mandy Patinkin,Robin Wright,Chris Sarandon,Christopher Guest"
The Untouchables,1987,119,"Crime,Drama,Thriller",7.8,341796,Brian De Palma,"Kevin Costner,Sean Connery,Robert De Niro,Charles Martin Smith,Andy Garcia"
RoboCop,1987,102,"Action,Crime,Sci-Fi",7.6,294858,Paul Verhoeven,"Peter Weller,Peter Weller,Nancy Allen,Dan O'Herlihy,Ronny Cox"
Lethal Weapon,1987,109,"Action,Crime,Thriller",7.6,285586,Richard Donner,"Mel Gibson,Danny Glover,Gary Busey,Mitchell Ryan,Tom Atkins"
Dirty Dancing,1987,100,"Drama,Music,Romance",7.1,268119,Emile Ardolino,"Patrick Swayze,Jennifer Grey,Jerry Orbach,Cynthia Rhodes,Jack Weston"
Spaceballs,1987,96,"Adventure,Comedy,Sci-Fi",7.1,214201,Mel Brooks,"Mel Brooks,Mel Brooks,John Candy,Rick Moranis,Bill Pullman"
Evil Dead II,1987,84,"Comedy,Horror",7.7,188909,Sam Raimi,"Bruce Campbell,Sarah Berry,Dan Hicks,Kassie Wesley DePaiva,Ted Raimi"
The Running Man,1987,101,"Action,Sci-Fi,Thriller",6.6,173713,Paul Michael Glaser,"Arnold Schwarzenegger,Maria Conchita Alonso,Yaphet Kotto,Jim Brown,Jesse Ventura"
"Planes, Trains & Automobiles",1987,93,"Comedy,Drama",7.6,169560,John Hughes,"Steve Martin,John Candy,Laila Robins,Michael McKean,Kevin Bacon"
Wall Street,1987,126,"Crime,Drama",7.3,169224,Oliver Stone,"Charlie Sheen,Michael Douglas,Tamara Tunie,Franklin Cover,Chuck Pfeiffer"
The Lost Boys,1987,97,"Comedy,Horror",7.2,168939,Joel Schumacher,"Jason Patric,Corey Haim,Dianne Wiest,Barnard Hughes,Edward Herrmann"
"Good Morning, Vietnam",1987,121,"Biography,Comedy,Drama",7.3,159381,Barry Levinson,"Robin Williams,Forest Whitaker,Tom T. Tran,Chintara Sukapatana,Bruno Kirby"
Raising Arizona,1987,94,"Comedy,Crime",7.3,155405,Joel Coen,"Nicolas Cage,Holly Hunter,Trey Wilson,John Goodman,William Forsythe"
Hellraiser,1987,94,"Horror,Thriller",6.9,147238,Clive Barker,"Andrew Robinson,Clare Higgins,Ashley Laurence,Sean Chapman,Oliver Smith"
Beverly Hills Cop II,1987,103,"Action,Comedy,Crime",6.6,142919,Tony Scott,"Eddie Murphy,Judge Reinhold,Jürgen Prochnow,Ronny Cox,John Ashton"
Empire of the Sun,1987,153,"Drama,War",7.7,138059,Steven Spielberg,"Christian Bale,John Malkovich,Miranda Richardson,Nigel Havers,Joe Pantoliano"
The Last Emperor,1987,163,"Biography,Drama,History",7.7,115447,Bernardo Bertolucci,"John Lone,Joan Chen,Peter O'Toole,Ruocheng Ying,Victor Wong"
The Living Daylights,1987,130,"Action,Adventure,Thriller",6.7,109560,John Glen,"Timothy Dalton,Maryam d'Abo,Jeroen Krabbé,Joe Don Baker,John Rhys-Davies"
Fatal Attraction,1987,119,"Drama,Thriller",6.9,105309,Adrian Lyne,"Michael Douglas,Glenn Close,Anne Archer,Ellen Latzen,Stuart Pankin"
Angel Heart,1987,113,"Horror,Mystery,Thriller",7.2,99353,Alan Parker,"Mickey Rourke,Robert De Niro,Lisa Bonet,Charlotte Rampling,Stocker Fontelieu"
A Nightmare on Elm Street 3: Dream Warriors,1987,96,"Fantasy,Horror",6.7,94847,Chuck Russell,"Heather Langenkamp,Robert Englund,Craig Wasson,Patricia Arquette,Ken Sagoes"
The Witches of Eastwick,1987,118,"Comedy,Fantasy,Horror",6.5,80801,George Miller,"Jack Nicholson,Cher,Susan Sarandon,Michelle Pfeiffer,Veronica Cartwright"
Wings of Desire,1987,128,"Drama,Fantasy,Romance",7.9,80533,Wim Wenders,"Bruno Ganz,Solveig Dommartin,Otto Sander,Curt Bois,Peter Falk"
Moonstruck,1987,102,"Comedy,Drama,Romance",7.2,73380,Norman Jewison,"Cher,Nicolas Cage,Olympia Dukakis,Danny Aiello,Vincent Gardenia"
Overboard,1987,112,"Comedy,Romance",6.9,71434,Garry Marshall,"Goldie Hawn,Goldie Hawn,Kurt Russell,Edward Herrmann,Katherine Helmond"
Innerspace,1987,120,"Action,Adventure,Comedy",6.8,67232,Joe Dante,"Dennis Quaid,Martin Short,Meg Ryan,Kevin McCarthy,Fiona Lewis"
Over the Top,1987,93,"Action,Drama,Sport",5.8,62115,Menahem Golan,"Sylvester Stallone,Robert Loggia,Susan Blakely,Rick Zumwalt,David Mendenhall"
Three Men and a Baby,1987,102,"Comedy,Drama,Family",6.1,59676,Leonard Nimoy,"Tom Selleck,Steve Guttenberg,Ted Danson,Nancy Travis,Margaret Colin"
Superman IV: The Quest for Peace,1987,90,"Action,Adventure,Sci-Fi",3.7,55040,Sidney J. Furie,"Christopher Reeve,Christopher Reeve,Gene Hackman,Margot Kidder,Jackie Cooper"
Prince of Darkness,1987,102,Horror,6.7,52703,John Carpenter,"Donald Pleasence,Lisa Blount,Jameson Parker,Victor Wong,Dennis Dun"
Adventures in Babysitting,1987,102,"Adventure,Comedy,Crime",6.9,51445,Chris Columbus,"Elisabeth Shue,Maia Brewton,Keith Coogan,Anthony Rapp,Calvin Levels"
Jaws: The Revenge,1987,89,"Adventure,Horror,Thriller",3,51281,Joseph Sargent,"Lorraine Gary,Lance Guest,Mario Van Peebles,Karen Young,Michael Caine"
No Way Out,1987,114,"Action,Crime,Drama",7.1,50890,Roger Donaldson,"Kevin Costner,Gene Hackman,Sean Young,Will Patton,Howard Duff"
Bad Taste,1987,91,"Comedy,Horror,Sci-Fi",6.5,50224,Peter Jackson,"Terry Potter,Terry Potter,Pete O'Herne,Pete O'Herne,Craig Smith"
Withnail and I,1987,107,"Comedy,Drama",7.5,49796,Bruce Robinson,"Richard E. Grant,Paul McGann,Richard Griffiths,Ralph Brown,Michael Elphick"
Roxanne,1987,107,"Comedy,Romance",6.6,48861,Fred Schepisi,"Steve Martin,Daryl Hannah,Rick Rossovich,Shelley Duvall,John Kapelos"
Near Dark,1987,94,Horror,6.9,47162,Kathryn Bigelow,"Adrian Pasdar,Jenny Wright,Lance Henriksen,Bill Paxton,Jenette Goldstein"
Police Academy 4: Citizens on Patrol,1987,88,"Comedy,Crime",5,47149,Jim Drake,"Steve Guttenberg,Bubba Smith,Michael Winslow,David Graf,Tim Kazurinsky"
Masters of the Universe,1987,106,"Action,Adventure,Fantasy",5.4,46178,Gary Goddard,"Dolph Lundgren,Frank Langella,Meg Foster,Billy Barty,Courteney Cox"
Can't Buy Me Love,1987,94,"Comedy,Drama,Romance",6.8,43912,Steve Rash,"Patrick Dempsey,Amanda Peterson,Courtney Gains,Tina Caspary,Seth Green"
Throw Momma from the Train,1987,88,"Comedy,Crime,Thriller",6.3,42500,Danny DeVito,"Danny DeVito,Billy Crystal,Kim Greist,Anne Ramsey,Kate Mulgrew"
Harry and the Hendersons,1987,110,"Comedy,Family,Fantasy",6.1,39292,William Dear,"John Lithgow,Melinda Dillon,Margaret Langrick,Joshua Rudoy,Kevin Peter Hall"
*batteries not included,1987,107,"Comedy,Family,Fantasy",6.6,38828,Matthew Robbins,"Hume Cronyn,Jessica Tandy,Frank McRae,Elizabeth Peña,Michael Carmine"
Dragnet,1987,106,"Comedy,Crime,Mystery",6,38545,Tom Mankiewicz,"Dan Aykroyd,Tom Hanks,Christopher Plummer,Harry Morgan,Alexandra Paul"
The Secret of My Success,1987,111,"Comedy,Romance",6.5,38243,Herbert Ross,"Michael J. Fox,Michael J. Fox,Helen Slater,Richard Jordan,Margaret Whitton"
La Bamba,1987,108,"Biography,Drama,Music",6.9,37808,Luis Valdez,"Lou Diamond Phillips,Esai Morales,Rosanna DeSoto,Elizabeth Peña,Danielle von Zerneck"
Mannequin,1987,90,"Comedy,Fantasy,Romance",6,37605,Michael Gottlieb,"Andrew McCarthy,Kim Cattrall,Estelle Getty,James Spader,G.W. Bailey"
Au Revoir les Enfants,1987,104,"Drama,War",8,37303,Louis Malle,"Gaspard Manesse,Raphael Fejtö,Francine Racette,Stanislas Carré de Malberg,Philippe Morier-Genoud"
Radio Days,1987,88,Comedy,7.4,37275,Woody Allen,"Mia Farrow,Dianne Wiest,Mike Starr,Paul Herman,Don Pardo"
The Monster Squad,1987,82,"Action,Comedy,Fantasy",6.9,37060,Fred Dekker,"Andre Gower,Robby Kiger,Stephen Macht,Duncan Regehr,Tom Noonan"
Some Kind of Wonderful,1987,95,"Drama,Romance",7,36210,Howard Deutch,"Eric Stoltz,Mary Stuart Masterson,Lea Thompson,Craig Sheffer,John Ashton"
Broadcast News,1987,133,"Comedy,Drama,Romance",7.3,35274,James L. Brooks,"William Hurt,Albert Brooks,Holly Hunter,Robert Prosky,Lois Chiles"
Creepshow 2,1987,92,"Fantasy,Horror",6,29489,Michael Gornick,"George Kennedy,Lois Chiles,Domenick John,Tom Savini,Philip Dore"
Stakeout,1987,117,"Action,Comedy,Crime",6.7,29379,John Badham,"Richard Dreyfuss,Emilio Estevez,Madeleine Stowe,Aidan Quinn,Dan Lauria"
Hamburger Hill,1987,110,"Action,Drama,Thriller",6.7,28907,John Irvin,"Anthony Barrile,Michael Boatman,Don Cheadle,Michael Dolan,Don James"
The Brave Little Toaster,1987,90,"Adventure,Animation,Family",7.2,28506,Jerry Rees,"Jon Lovitz,Timothy Stack,Timothy Stack,Timothy E. Day,Timothy E. Day"
Nayakan,1987,145,"Crime,Drama",8.6,26061,Mani Ratnam,"Kamal Haasan,Saranya Ponvannan,Delhi Ganesh,Janakaraj,Karthika"
Maurice,1987,140,"Drama,Romance",7.6,25295,James Ivory,"James Wilby,Rupert Graves,Hugh Grant,Denholm Elliott,Simon Callow"
Blind Date,1987,95,"Comedy,Romance",5.9,24964,Blake Edwards,"Kim Basinger,Bruce Willis,John Larroquette,William Daniels,George Coe"
House of Games,1987,102,"Crime,Drama,Thriller",7.2,24767,David Mamet,"Lindsay Crouse,Joe Mantegna,Mike Nussbaum,Lilia Skala,J.T. Walsh"
The Hidden,1987,97,"Horror,Sci-Fi,Thriller",7,24109,Jack Sholder,"Kyle MacLachlan,Michael Nouri,Claudia Christian,Clarence Felder,Clu Gulager"
Summer School,1987,97,"Comedy,Romance",6.6,23054,Carl Reiner,"Mark Harmon,Kirstie Alley,Robin Thomas,Patrick Labyorteaux,Courtney Thorne-Smith"
Less Than Zero,1987,98,"Crime,Drama",6.4,22973,Marek Kanievska,"Andrew McCarthy,Jami Gertz,Robert Downey Jr.,James Spader,Tony Bill"
Babette's Feast,1987,103,Drama,7.8,22877,Gabriel Axel,"Stéphane Audran,Bodil Kjer,Birgitte Federspiel,Jarl Kulle,Jarl Kulle"
Barfly,1987,100,"Comedy,Drama,Romance",7.1,22760,Barbet Schroeder,"Mickey Rourke,Faye Dunaway,Alice Krige,Jack Nance,J.C. Quinn"
Eddie Murphy: Raw,1987,93,"Comedy,Documentary",7.6,21235,Robert Townsend,"Tatyana Ali,Billie Allen,Clebert Ford,Geri Gibson,Birdie M. Hale"
The Gate,1987,85,"Fantasy,Horror",6,20745,Tibor Takács,"Stephen Dorff,Christa Denton,Louis Tripp,Kelly Rowan,Jennifer Irwin"
Opera,1987,107,"Crime,Horror,Mystery",6.9,20684,Dario Argento,"Cristina Marsillach,Ian Charleson,Urbano Barberini,Daria Nicolodi,Coralina Cataldi-Tassoni"
Where Is the Friend's House?,1987,83,"Drama,Family",8.1,20610,Abbas Kiarostami,"Babek Ahmedpoor,Ahmed Ahmedpoor,Khodabakhsh Defaei,Iran Outari,Ait Ansari"
Baby Boom,1987,110,"Comedy,Drama,Romance",6.3,19978,Charles Shyer,"Diane Keaton,Sam Shepard,Harold Ramis,Kristina Kennedy,Michelle Kennedy"
The Stepfather,1987,89,"Horror,Thriller",6.7,19621,Joseph Ruben,"Terry O'Quinn,Jill Schoelen,Shelley Hack,Charles Lanyer,Stephen Shellen"
Mr. India,1987,179,"Action,Comedy,Drama",7.7,17078,Shekhar Kapur,"Anil Kapoor,Anil Kapoor,Sridevi,Amrish Puri,Satish Kaushik"
Bagdad Cafe,1987,95,"Comedy,Drama",7.4,15903,Percy Adlon,"Marianne Sägebrecht,CCH Pounder,Jack Palance,Christine Kaufmann,Monica Calhoun"
Revenge of the Nerds II: Nerds in Paradise,1987,88,Comedy,5.1,15842,Joe Roth,"Robert Carradine,Curtis Armstrong,Larry B. Scott,Timothy Busfield,Courtney Thorne-Smith"
Hope and Glory,1987,113,"Comedy,Drama,Romance",7.3,15308,John Boorman,"Sarah Miles,David Hayman,Sebastian Rice-Edwards,Geraldine Muir,Sammi Davis"
Cry Freedom,1987,157,"Biography,Drama,History",7.4,14902,Richard Attenborough,"Denzel Washington,Kevin Kline,Josette Simon,Wabei Siyolwe,John Matshikiza"
Law of Desire,1987,102,"Comedy,Drama,Thriller",7.1,14743,Pedro Almodóvar,"Eusebio Poncela,Carmen Maura,Antonio Banderas,Miguel Molina,Fernando Guillén"
Three O'Clock High,1987,101,Comedy,7.1,13742,Phil Joanou,"Casey Siemaszko,Annie Ryan,Richard Tyson,Stacey Glick,Jonathan Wise"
Project X,1987,108,"Comedy,Drama,Sci-Fi",6.2,13129,Jonathan Kaplan,"Matthew Broderick,Helen Hunt,Willie,Okko,Karanja"
Amazon Women on the Moon,1987,85,"Comedy,Sci-Fi",6.2,12932,Joe Dante,"Rosanna Arquette,Michelle Pfeiffer,Arsenio Hall,Donald F. Muhich,Monique Gabrielle"
Ernest Goes to Camp,1987,92,"Comedy,Family",5.5,12858,John R. Cherry III,"Jim Varney,Victoria Racimo,John Vernon,Iron Eyes Cody,Lyle Alzado"
House II: The Second Story,1987,88,"Comedy,Fantasy,Horror",5.4,12858,Ethan Wiley,"Arye Gross,Jonathan Stark,Royal Dano,Bill Maher,John Ratzenberger"
Teen Wolf Too,1987,95,"Comedy,Fantasy",3.5,12829,Christopher Leitch,"Jason Bateman,Kim Darby,John Astin,Paul Sand,James Hampton"
Ishtar,1987,107,"Action,Adventure,Comedy",4.7,12466,Elaine May,"Warren Beatty,Dustin Hoffman,Isabelle Adjani,Charles Grodin,Jack Weston"
Someone to Watch Over Me,1987,106,"Crime,Drama,Romance",6.1,12418,Ridley Scott,"Tom Berenger,Mimi Rogers,Lorraine Bracco,Jerry Orbach,John Rubinstein"
Suspect,1987,121,"Crime,Drama,Mystery",6.6,12315,Peter Yates,"Cher,Dennis Quaid,Liam Neeson,John Mahoney,Joe Mantegna"
The Principal,1987,109,"Action,Crime,Drama",6.3,12282,Christopher Cain,"Jim Belushi,Louis Gossett Jr.,Rae Dawn Chong,Michael Wright,J.J. Cohen"
Mr. Muhsin,1987,119,"Comedy,Drama,Music",8.4,12275,Yavuz Turgul,"Sener Sen,Ugur Yücel,Sermin Hürmeriç,Osman Cavci,Tayfun Coragan"
Pelle the Conqueror,1987,157,Drama,7.7,12237,Bille August,"Pelle Hvenegaard,Max von Sydow,Erik Paaske,Björn Granath,Astrid Villaume"
Street Trash,1987,91,"Comedy,Horror",5.9,12193,J. Michael Muro,"Mike Lackey,Vic Noto,Bill Chepil,Mark Sferrazza,Jane Arakawa"
Project A 2,1987,101,"Action,Comedy,Crime",7,11924,Jackie Chan,"Jackie Chan,Maggie Cheung,Rosamund Kwan,Carina Lau,David Lam"
Death Wish 4: The Crackdown,1987,99,"Action,Crime,Drama",5.5,11787,J. Lee Thompson,"Charles Bronson,Kay Lenz,John P. Ryan,Perry Lopez,George Dickerson"
A Better Tomorrow II,1987,105,"Action,Crime,Drama",7.2,11765,John Woo,"Leslie Cheung,Chow Yun-Fat,Chow Yun-Fat,Chow Yun-Fat,Lung Ti"
84 Charing Cross Road,1987,100,"Biography,Drama,Romance",7.4,11760,David Hugh Jones,"Anne Bancroft,Anthony Hopkins,Judi Dench,Jean De Baer,Maurice Denham"
Blind Chance,1987,114,"Drama,Romance",7.7,11752,Krzysztof Kieslowski,"Boguslaw Linda,Tadeusz Lomnicki,Zbigniew Zapasiewicz,Boguslawa Pawelec,Marzena Trybala"
Flowers in the Attic,1987,93,"Drama,Mystery,Thriller",5.7,11691,Jeffrey Bloom,"Louise Fletcher,Victoria Tennant,Kristy Swanson,Jeb Stuart Adams,Ben Ryan Ganger"
A Chinese Ghost Story,1987,98,"Action,Fantasy,Horror",7.4,11673,Siu-Tung Ching,"Leslie Cheung,Joey Wang,Wu Ma,Wai Lam,Siu-Ming Lau"
The Fourth Protocol,1987,119,Thriller,6.5,11574,John Mackenzie,"Michael Caine,Pierce Brosnan,Pierce Brosnan,Ned Beatty,Ned Beatty"
Who's That Girl,1987,92,"Comedy,Music,Romance",4.8,11469,James Foley,"Madonna,Griffin Dunne,Haviland Morris,John McMartin,Bibi Besch"
Black Widow,1987,102,"Crime,Drama,Mystery",6.4,11450,Bob Rafelson,"Debra Winger,Theresa Russell,Sami Frey,Dennis Hopper,Nicol Williamson"
Cherry 2000,1987,99,"Action,Adventure,Comedy",5.6,11056,Steve De Jarnatt,"Melanie Griffith,David Andrews,Pamela Gidley,Jennifer Balgobin,Marshall Bell"
September,1987,83,Drama,6.5,10724,Woody Allen,"Elaine Stritch,Denholm Elliott,Mia Farrow,Dianne Wiest,Sam Waterston"
Wicked City,1987,82,"Action,Animation,Fantasy",6.7,10650,Yoshiaki Kawajiri,"Yûsaku Yara,Toshiko Fujita,Ichirô Nagai,Takeshi Aono,Mari Yokô"
Ironweed,1987,143,Drama,6.7,10349,Hector Babenco,"Jack Nicholson,Meryl Streep,Carroll Baker,Michael O'Keefe,Diane Venora"
Tin Men,1987,112,"Comedy,Drama",6.6,10215,Barry Levinson,"Richard Dreyfuss,Danny DeVito,Barbara Hershey,John Mahoney,Jackie Gayle"
American Ninja 2: The Confrontation,1987,90,"Action,Comedy,Drama",5,10124,Sam Firstenberg,"Michael Dudikoff,Steve James,Larry Poindexter,Gary Conway,Jeff Celentano"
StageFright,1987,90,"Drama,Horror,Thriller",6.6,10011,Michele Soavi,"David Brandon,Richard Barkeley,Barbara Cupisti,Domenico Fiore,Robert Gligorov"
Matewan,1987,135,"Drama,History",7.9,9686,John Sayles,"Chris Cooper,James Earl Jones,Mary McDonnell,Will Oldham,David Strathairn"
"Silent Night, Deadly Night Part 2",1987,88,"Horror,Thriller",3.9,9681,Lee Harry,"Eric Freeman,James Newman,Elizabeth Kaitan,Jean Miller,Darrel Guilbeau"
The Dead,1987,83,Drama,7.2,9349,John Huston,"Anjelica Huston,Donal McCann,Helena Carroll,Cathleen Delany,Rachael Dowling"
Extreme Prejudice,1987,105,"Action,Crime,Drama",6.6,9300,Walter Hill,"Nick Nolte,Powers Boothe,Michael Ironside,Maria Conchita Alonso,Rip Torn"
The Garbage Pail Kids Movie,1987,100,"Adventure,Comedy,Family",2.7,9028,Rod Amateau,"Anthony Newley,Mackenzie Astin,Phil Fondacaro,Katie Barberi,Ron MacLachlan"
Outrageous Fortune,1987,99,Comedy,6.2,8913,Arthur Hiller,"Shelley Long,Bette Midler,Peter Coyote,Robert Prosky,John Schuck"
Leonard Part 6,1987,85,"Action,Comedy,Sci-Fi",2.2,8795,Paul Weiland,"Bill Cosby,Tom Courtenay,Joe Don Baker,Moses Gunn,Pat Colbert"
Cobra Verde,1987,111,"Adventure,Drama",6.9,8738,Werner Herzog,"Klaus Kinski,King Ampaw,José Lewgoy,Salvatore Basile,Peter Berling"
The Believers,1987,114,"Crime,Drama,Horror",6.1,8687,John Schlesinger,"Martin Sheen,Helen Shaver,Harley Cross,Robert Loggia,Elizabeth Wilson"
Hello Mary Lou: Prom Night II,1987,97,"Horror,Thriller",5.8,8325,Bruce Pittman,"Lisa Schrage,Michael Ironside,Wendy Lyon,Louis Ferreira,Richard Monette"
The Pick-up Artist,1987,81,"Comedy,Crime,Drama",5.4,8061,James Toback,"Molly Ringwald,Robert Downey Jr.,Dennis Hopper,Danny Aiello,Mildred Dunnock"
Slumber Party Massacre II,1987,77,"Comedy,Horror,Musical",4.7,8056,Deborah Brock,"Crystal Bernard,Jennifer Rhodes,Kimberly McArthur,Patrick Lowe,Juliette Cummins"
Nuts,1987,116,"Drama,Thriller",6.6,7814,Martin Ritt,"Barbra Streisand,Richard Dreyfuss,Maureen Stapleton,Karl Malden,Eli Wallach"
City on Fire,1987,101,"Action,Crime,Drama",7,7582,Ringo Lam,"Chow Yun-Fat,Yueh Sun,Yueh Sun,Danny Lee,Carrie Ng"
The Bedroom Window,1987,112,"Crime,Drama,Mystery",6.4,7298,Curtis Hanson,"Steve Guttenberg,Elizabeth McGovern,Isabelle Huppert,Paul Shenar,Carl Lumbly"
Miami Connection,1987,87,"Action,Crime,Music",5.6,7015,Woo-sang Park,"Y.K. Kim,Vincent Hirsch,Joseph Diamand,Maurice Smith,Angelo Janotti"
Born in East L.A.,1987,85,Comedy,6,6853,Cheech Marin,"Cheech Marin,Daniel Stern,Paul Rodriguez,Kamala Lopez,Jan-Michael Vincent"
Prick Up Your Ears,1987,105,"Biography,Drama",7.1,6709,Stephen Frears,"Gary Oldman,Alfred Molina,Vanessa Redgrave,Wallace Shawn,Lindsay Duncan"
Hollywood Shuffle,1987,81,Comedy,6.9,6680,Robert Townsend,"Robert Townsend,Robert Townsend,Robert Townsend,Craigus R. Johnson,Helen Martin"
Like Father Like Son,1987,100,"Comedy,Fantasy",5.2,6654,Rod Daniel,"Dudley Moore,Dudley Moore,Kirk Cameron,Kirk Cameron,Margaret Colin"
Best Seller,1987,95,"Action,Crime,Drama",6.4,6608,John Flynn,"James Woods,Brian Dennehy,Victoria Tennant,Allison Balson,Paul Shenar"
Gardens of Stone,1987,111,"Drama,Romance,War",6.3,6521,Francis Ford Coppola,"James Caan,Anjelica Huston,James Earl Jones,D.B. Sweeney,Dean Stockwell"
The Belly of an Architect,1987,119,Drama,6.9,6467,Peter Greenaway,"Brian Dennehy,Chloe Webb,Lambert Wilson,Sergio Fantoni,Stefania Casini"
Epidemic,1987,106,"Drama,Horror",6,6385,Lars von Trier,"Allan De Waal,Ole Ernst,Michael Gelting,Colin Gilder,Svend Ali Hamann"
Mio in the Land of Faraway,1987,99,"Adventure,Family,Fantasy",6.3,6295,Vladimir Grammatikov,"Nick Pickard,Nick Pickard,Christian Bale,Christian Bale,Timothy Bottoms"
Surf Nazis Must Die,1987,83,"Action,Comedy,Drama",3.8,6268,Peter George,"Gail Neely,Robert Harden,Barry Brenner,Dawn Wildsmith,Michael Sonye"
The Chipmunk Adventure,1987,77,"Adventure,Animation,Comedy",7.2,6235,Janice Karman,"Ross Bagdasarian Jr.,Ross Bagdasarian Jr.,Ross Bagdasarian Jr.,Janice Karman,Janice Karman"
